Paper_ID,Title,Dataset_Name,Dataset_Public_Availability,Dataset_Real_Simulated,Dataset_Size,Train_Validation_Test_Split,Input_Resolution,Target_Resolution,Input_Field_Strength,Target_Field_Strength,Field_Pathway,MRI_Sequence,MRI_Contrast,Paired_Unpaired,Ground_Truth_Type,Ground_Truth_Source,Low_Field_Data_Provenance,Evidence_Page,Evidence_Section,Evidence_Summary,Dataset_Evidence_Status,Evidence_Source,DOI
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,"BraTS 2013, BraTS 2015, BraTS 2017, BraTS 2018",Public,Real,BraTS2013: 30 cases; BraTS2015: 274; BraTS2017: 431; BraTS2018: 476,Dataset-specific train/test splits reported; classification additionally used 70:30 and 10-fold cross-validation,256 × 256 processed 2D images for the segmentation pipeline; original voxel resolution not reported,Not applicable,Not reported,Not applicable,not reported,"T1, T1ce, T2, FLAIR",T1-weighted; contrast-enhanced T1; T2-weighted; FLAIR,Not applicable,Clinical annotation,BraTS ground-truth tumor labels,Neither real low-field nor low-field simulation reported,5 | 1 | 3 | 5,"§4.1 Dataset description, Table 2 | Introduction | Segmentation method | §4.1",Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Full text,Full-text article or supplied publisher text,10.1016/j.patrec.2019.11.019
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,"BraTS2017, BraTS2018, BraTS2019",Public,Real,Training: 285 / 285 / 335 labeled cases; test: 46 / 66 / 125 unlabeled cases (2017/2018/2019),Official BraTS training/test partitions as reported,Original 155 × 240 × 240; training crop 128 × 128 × 128; testing padded to 160 × 240 × 240,Same voxel grid segmentation mask,Not reported,Not applicable,not reported,"T1, T2, FLAIR, T1-C/T1ce",T1-weighted; T2-weighted; FLAIR; contrast-enhanced T1,Not applicable,Clinical annotation,BraTS segmentation labels provided by domain experts,Neither real low-field nor low-field simulation reported,7 | 7 | 7 | 2,§4.2 Datasets | §4.3 Implementation details | §4.2 Datasets | Fig. 1 caption,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Full text,Full-text article or supplied publisher text,10.1016/j.patcog.2024.110553
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,Single-institution DCE breast MRI cohort,Private,Real,358 images/cases: 286 training/validation and 72 independent test,Patients randomly divided 4:1; training/validation set split 9:1 per epoch; independent test set,"512 × 512-pixel craniocaudal MIP; source sequence 512 × 512 matrix, 2-mm sections",Not applicable,3.0 T,Not applicable,standard/high-field only,Bilateral axial fat-suppressed T1-weighted DCE MRI; early-phase MIP,Gadobutrol-enhanced T1-weighted,Not applicable,Clinical annotation,Pathology or >1-year follow-up diagnosis (normal/benign/malignant),Real high-field clinical data only; no low-field simulation,2 | 2 | 2,§2.2 Magnetic resonance imaging | §2.3 Data set | §2.1 Patients,Dataset: Real; availability: Private; pairing: Not applicable; ground truth: Clinical annotation.,Full text,Full-text article or supplied publisher text,10.1016/j.mri.2020.10.003
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,Prospective peripheral-nerve MR neurography cohort,Private,Real,29 patients; 60 peripheral nerves,Not applicable,Not available,Not available,Not available,Not available,unclear,Axial 2D intermediate-weighted FSE (visible section snippet); full acquisition parameters not available,Intermediate-weighted,Paired by construction,Measured same-subject reference,Conventional standard-of-care reconstruction used as same-acquisition comparator; not a true gold standard,Not available,2 | 5 | 4,Abstract | Data availability | Section snippet: Study design/results,Dataset: Real; availability: Private; pairing: Paired by construction; ground truth: Measured same-subject reference.,Partial text,Full-text article or supplied publisher text,10.1016/j.mri.2021.10.038
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,Two brain MRI classification datasets (names not available in supplied PDF extract),Not available,Not available,Not available,10-fold cross-validation,Not available,Not applicable,Not available,Not applicable,unclear,Not available,Not available,Not applicable,Clinical annotation,Dataset class labels; provenance not available in supplied extract,Not available,2 | 5 | 6,Abstract | Figure 1 / workflow text | Results section snippet,Dataset: Not available; availability: Not available; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,10.1016/j.bspc.2024.106117
6,A deep learning approach for brain tumor classification using MRI images,Cheng et al. brain tumor dataset (Figshare 1512427),Public,Real,"233 patients; 3,064 T1-weighted contrast-enhanced MRI scans",Not available,512 × 512 pixels; voxel spacing 0.49 × 0.49 mm²,Not applicable,Not available,Not applicable,unclear,T1-weighted enhanced MRI,Contrast-enhanced T1-weighted,Not applicable,Clinical annotation,Tumor class labels from Cheng et al. dataset,Not available,6 | 6,Dataset section snippet | Dataset section snippet,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,10.1016/j.compeleceng.2022.108105
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,University Hospital of Dijon DE-MRI dataset,Not available,Real,195 DE-MRI examinations; approximately 7 slices/exam; paper abstract reports evaluation on 904 DE-MRI slices,Not available,Not available,Same-grid infarct/myocardium segmentation mask,1.5 T and 3 T,Not applicable,standard/high-field only,"T1-weighted Phase Sensitive Inversion Recovery (PSIR), short-axis DE-MRI",Delayed gadolinium enhancement,Not applicable,Clinical annotation,Manual myocardium/infarction/no-reflow contours by medical experts,Real 1.5 T and 3 T clinical data; no ≤64 mT data,5 | 2 | 2,Dataset section snippet | Abstract | Introduction/Fig. 1,Dataset: Real; availability: Not available; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,10.1016/j.compmedimag.2021.102014
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,EMIDEC challenge dataset,Public,Real,150 patients/exams: 50 non-infarct and 100 myocardial-infarction cases,Challenge training/test details not available in supplied extract; results refer to final challenge test phase,Not available,Same-grid segmentation masks / exam-level class label,Not available,Not applicable,unclear,Kinetic cardiac MRI and delayed-enhancement MRI,Delayed enhancement after contrast agent,Not applicable,Clinical annotation,Manual myocardium/infarct annotations and pathological/non-pathological exam labels,Not available,2 | 4 | 1,Abstract | DE-MRI and clinical information | Highlights,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,10.1016/j.media.2022.102428
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,Single-centre pancreatic MRI cohort,Not reported,Real,50 patients; 50 pancreatic lesions,Not applicable (retrospective paired image-quality comparison; no study-model training split reported),VIBESTD/VIBESR voxel size 1.19 × 1.19 × 3 mm³,Not applicable (no separate measured HR target; VIBESR and VIBESTD have same reported voxel size),1.5 T,1.5 T,standard/high-field only,T1-weighted 3D gradient-echo VIBE,"Precontrast, dynamic contrast-enhanced, postcontrast",Paired by construction,Measured same-subject reference,Standard VIBE reconstruction (VIBESTD) as same-exam comparator,"Real 1.5 T data only; acquisition-time reduction was simulated retrospectively, not low-field MRI",1 | 3 | 1,Abstract | Table 2 | Abstract,Dataset: Real; availability: Not reported; pairing: Paired by construction; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,10.1016/j.diii.2022.06.006
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,Numerical phantoms plus in-vitro pulsatile-flow MRI experiments,Not available,Mixed,Not available,Not applicable / Not available,Exact input grid not available; paper reports simulated low-resolution 4D-Flow MRI and SR factors,High-resolution DNN sampling / high-resolution PIV reference; exact grid not available,Not available,Not available,unclear,4D-Flow MRI (time-resolved 3D phase-contrast MRI),Magnitude plus velocity/phase information,Paired by construction,Simulation/reference model,Numerical phantom truth and high-resolution particle image velocimetry (PIV) for in-vitro validation,"No real low-field evidence; simulated low-resolution 4D-Flow data are used, field strength unavailable",2 | 2,Abstract | Abstract,Dataset: Mixed; availability: Not available; pairing: Paired by construction; ground truth: Simulation/reference model.,Partial text,Full-text article or supplied publisher text,10.1016/j.cmpb.2020.105729
