Paper_ID,DOI,Title,TR_HardwareAwareness,Decision,Evidence_Page,Evidence_Section,Evidence_Reason,Evidence_Document,Evidence_Source,Rubric_Version
1,10.1016/j.patrec.2019.11.019,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,0,No,5,Implementation,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",1. Active deep neural network features selection(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
2,10.1016/j.patcog.2024.110553,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,0,No,7,§4.1 Experiment preparation,Only training hardware is reported; per protocol this does not qualify as Hardware Awareness.,2. Brain tumor segmentation in MRI with multi-modality spatial(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
3,10.1016/j.mri.2020.10.003,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,0,No,2,§2.4,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",3. Deep learning approach with CNN(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
4,10.1016/j.mri.2021.10.038,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,0,No,Not available,Missing full Methods,"Inference/deployment hardware cannot be verified from the partial export. Under the official rule, absence of explicit qualifying evidence is scored No.",4. Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
5,10.1016/j.bspc.2024.106117,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,0,No,6,Results section snippet,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",5. Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
6,10.1016/j.compeleceng.2022.108105,A deep learning approach for brain tumor classification using MRI images,0,No,Not available,Full Methods inaccessible,"No inference/deployment hardware requirement is accessible. Under the official rule, absence of explicit qualifying evidence is scored No.",6. A deep learning approach for brain tumor classification using MRI images - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
7,10.1016/j.compmedimag.2021.102014,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,0,No,Not available,Full Methods inaccessible,"Inference/deployment hardware cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",7. Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
8,10.1016/j.media.2022.102428,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,0,No,Not available,Team-specific Methods inaccessible,"Inference/deployment hardware cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",8. Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
9,10.1016/j.diii.2022.06.006,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,0,No,Not reported,Full text review,"No explicit inference/deployment device or model-size requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",9. Deep learning-based super-resolution gradient echo imaging of the pancreas Improvement of image quality and reduction of acquisition t(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
10,10.1016/j.cmpb.2020.105729,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,0,No,Not available,Full Methods inaccessible,"Inference/deployment hardware cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",10. Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
11,10.1101/2023.12.28.23300409,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,0,No,Not reported,Full text review,"No explicit inference/deployment device, RAM requirement, model size, or device-tied inference time is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",11. Multi contrast highfield qualityimage synthesis(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
12,10.1016/j.bspc.2023.104901,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,0,No,3,Implementation,The only explicit device context is the experimental/training workstation; no inference/deployment requirement is stated.,12. Super resolution of brain MRI images(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
13,10.1016/j.artmed.2021.102196,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,0,No,"4,7",§2.3; Results,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",13. Fine tuning deep learning parameters(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
14,10.1016/j.cmpb.2024.108110,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,0,No,6,Network parameter setting,"The accessible hardware statement describes experiment/training environment, not inference/deployment requirements.",14. 3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
15,10.1016/j.cmpb.2019.105059,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,0,No,"2,6",Results; Experimental settings,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",15. Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
16,10.1007/s00330-024-11145-0,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,0,No,3,SR reconstruction,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",16. Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance - Copy(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
17,10.1109/ICREST51555.2021.9331123,Convolutional Neural Network-based Enhancement Method of 3D MRI,0,No,3,Experiments,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",17. Convolutional_Neural_Network-based_Enhancement_Method_of_3D_MRI(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
18,10.1016/j.media.2023.102831,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",0,No,3-4,Training setup,Resource text concerns training memory/batch setup; no inference/deployment hardware requirement is reported.,18. Cerebralvascular super resolution 4D flow MRI sequential recombination(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
19,10.1109/ICAECT57570.2023.10117880,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,0,No,2,Methods overview,"General computational/deployment statements are given without explicit device, memory, model-size, or device-tied inference requirements.",19. Deep_Learning_based_Early_Detection_of_Alzheimers_Disease_using_Image_Enhancement_Filters(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
20,10.1109/IST50367.2021.9651441,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,0,No,Not reported,Full text review,"No inference/deployment CPU, GPU, memory, model-size, or device-tied execution requirement is reported; general low-field affordability does not qualify.",20. Deep_Learningbased_Method_for_Denoising_and_Image_Enhancement_in_Low-Field_MRI.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
21,10.1109/TCBB.2022.3168189,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,0,No,9,Experimental environment,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",21. Deep_Transfer_Learning-Based_Multi-Modal_Digital_Twins_for_Enhancement_and_Diagnostic_Analysis_of_Brain_MRI_Image.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
22,10.1109/INOCON57975.2023.10100995,Digital Image Enhancement using Conventional Neural Network,0,No,Not reported,Full text review,"No inference/deployment resource requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",22. Digital_Image_Enhancement_using_Conventional_Neural_Network.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
24,10.1016/j.mri.2024.04.021,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,0,No,2,Abstract,The paper discusses computational/memory efficiency but does not report deployment/inference hardware requirements.,23. MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
25,10.1002/mrm.29642,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,0,No,5,Implementation,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",24. Pushing the limits of low‐cost ultra‐low‐field MRI by dual‐acquisition deep.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
26,10.1109/TBME.2024.3396223,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,0,No,1-12,Implementation review,No inference/deployment hardware requirement is reported; training hardware alone is excluded.,25. Joint B0 and Image Reconstruction in Low-Field.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15
